Timestamp;MSCI Index;SP500 Index;VTSAX.O;SWPPX.O;VFIAX.O;FXAIX.O;VTIAX.O;VBTLX.O;AGTHX.O;GFACX.O;VWNAX.O;FSPSX.O;SocGenCTA;SocGenCTATrend
31/12/12;1338,5;1426,188;35,65;22,19;131,37;50,49;25,05;11,09;34,35;33,09;52,13;34,28;194,5963364;222,0287251
02/01/13;1367,38;1462,4207;36,57;22,76;134,74;51,78;25,54;11,06;35,16;33,87;53,35;34,87;196,2386269;224,9299864
03/01/13;1364,39;1459,3656;36,51;22,71;134,46;51,67;25,34;11,04;35,1;33,81;53,21;34,58;196,0337538;224,0037247
04/01/13;1370,11;1466,4667;36,71;22,82;135,11;51,92;25,48;11,04;35,26;33,97;53,56;34,75;195,4870157;223,4011547
07/01/13;1366,91;1461,8915;36,6;22,75;134,69;51,76;25,39;11,05;35,2;33,91;53,42;34,64;195,1910483;223,0734252
08/01/13;1362,25;1457,1476;36,5;22,68;134,3;51,61;25,24;11,06;35,09;33,8;53,24;34,43;194,9681401;222,4539503
09/01/13;1367,15;1461,0216;36,62;22,74;134,66;51,75;25,36;11,05;35,23;33,94;53,38;34,62;195,7897359;224,0520595
10/01/13;1378,48;1472,1226;36,87;22,92;135,68;52,14;25,67;11,04;35,5;34,19;53,82;35,06;196,2275217;225,3432715
11/01/13;1381,94;1472,0541;36,87;22,92;135,69;52,15;25,63;11,06;35,51;34,2;53,74;35,09;195,329977;224,3558173
14/01/13;1380,21;1470,6785;36,84;22,9;135,56;52,1;25,68;11,06;35,48;34,17;53,75;35,14;195,4370179;224,6335698
15/01/13;1382,74;1472,3415;36,91;22,92;135,71;52,16;25,63;11,06;35,49;34,18;53,86;35,06;194,8413258;223,4063966
16/01/13;1378,92;1472,6297;36,9;22,93;135,76;52,17;25,53;11,07;35,38;34,07;53,8;34,93;194,6303127;222,6836769
17/01/13;1386,16;1480,9392;37,13;23,06;136,52;52,47;25,74;11,04;35,61;34,3;54,08;35,27;195,3701025;223,8556611
18/01/13;1388,11;1485,9764;37,25;23,14;136,99;52,65;25,73;11,05;35,7;34,38;54,15;35,17;195,543005;224,2747189
22/01/13;1393,62;1492,5579;37,43;23,24;137,6;52,89;25,73;11,06;35,81;34,48;54,36;35,15;196,0068799;225,3503054
23/01/13;1393,04;1494,8075;37,47;23,28;137,81;52,97;25,68;11,06;35,81;34,48;54,38;35,15;195,8808475;225,0034913
24/01/13;1396,14;1494,8153;37,5;23,28;137,82;52,97;25,73;11,05;35,97;34,63;54,58;35,35;196,6925777;226,6655921
25/01/13;1405,47;1502,9584;37,72;23,4;138,57;53,25;25,88;11,01;36,21;34,87;54,84;35,64;196,8715679;226,9904039
28/01/13;1403,04;1500,1751;37,66;23,36;138,32;53,16;25,73;11;36,04;34,7;54,7;35,51;196,6514655;226,2374767
29/01/13;1410,68;1507,8399;37,82;23,48;139,03;53,43;25,95;10,99;36,1;34,75;55,04;35,8;197,5324641;228,0369696
30/01/13;1409,47;1501,9635;37,65;23,4;138,52;53,24;25,91;10,99;36,01;34,67;54,85;35,86;197,4564141;227,8575045
31/01/13;1405,47;1498,1109;37,61;23,34;138,18;53,1;25,89;10,99;35,89;34,55;54,69;35,76;197,5344094;227,9819147
01/02/13;1416,79;1513,1739;37,98;23,57;139,57;53,64;26,07;10,98;36,28;34,93;55,24;35,97;198,9746328;230,7949836
04/02/13;1399,68;1495,7111;37,55;23,3;137,96;53,02;25,7;11;35,83;34,49;54,65;35,37;197,4954553;227,8846588
05/02/13;1405,15;1511,2877;37,93;23,55;139,41;53,58;25,82;10,99;36,2;34,85;55,16;35,53;197,9795167;228,6225494
06/02/13;1408,35;1512,1182;37,98;23,56;139,51;53,62;25,78;11;36,14;34,79;55,22;35,51;197,8864663;228,8200792
07/02/13;1401,92;1509,3937;37,92;23,53;139,31;53,54;25,61;11;36,02;34,68;55,22;35,2;197,1224267;227,2931628
08/02/13;1410,44;1517,9269;38,15;23,66;140,1;53,84;25,74;11;36,32;34,96;55,47;35,42;197,6885623;228,6226006
11/02/13;1405,7;1517,0092;38,12;23,65;140,02;53,81;25,69;11;36,18;34,82;55,47;35,37;197,6636535;228,4440463
12/02/13;1413,83;1519,4273;38,19;23,69;140,25;53,9;25,81;10,99;36,28;34,92;55,68;35,58;198,3867072;230,1493811
13/02/13;1413,81;1520,3314;38,24;23,71;140,4;53,96;25,88;10,97;36,37;35,01;55,61;35,68;198,9737334;230,7719352
14/02/13;1411,59;1521,3809;38,28;23,73;140,52;54;25,77;10,99;36,35;34,99;55,63;35,46;199,1848446;231,2129404
15/02/13;1406,92;1519,7942;38,24;23,71;140,38;53,95;25,72;10,99;36,29;34,92;55,44;35,38;198,789861;230,3768744
19/02/13;1419,81;1530,9417;38,53;23,89;141,43;54,36;25,96;10,98;36,51;35,14;55,83;35,8;199,8006975;232,5513175
20/02/13;1410,01;1511,9544;38,01;23,59;139,68;53,68;25,68;10,98;36,04;34,68;55,17;35,53;199,241855;230,618351
21/02/13;1392,11;1502,4195;37,75;23,45;138,84;53,36;25,37;10,99;35,73;34,38;54,87;34,95;197,3137915;226,2213815
22/02/13;1402,05;1515,6006;38,1;23,66;140,07;53,83;25,66;10,99;36,06;34,7;55,29;35,35;198,0403009;227,9146485
25/02/13;1391,22;1487,8481;37,4;23,23;137,51;52,85;25,26;11,04;35,49;34,15;54,24;34,83;198,1444701;227,6821756
26/02/13;1386,06;1496,9434;37,63;23,37;138,37;53,18;25,35;11,03;35,67;34,32;54,48;34,86;196,2406981;223,4784796
27/02/13;1399,43;1515,9854;38,11;23,67;140,16;53,87;25,61;11,02;36,12;34,75;55,18;35,25;196,8207856;224,4579858
28/02/13;1405,18;1514,6783;38,09;23,65;140,05;53,83;25,58;11,03;36,09;34,72;55,12;35,31;197,7271453;225,9187583
01/03/13;1401,75;1518,2;38,17;23,71;140,38;53,95;25,59;11,04;36,21;34,84;55,32;35,24;198,601297;226,8000674
04/03/13;1404,94;1525,2006;38,34;23,82;141,03;54,2;25,57;11,03;36,38;35;55,64;35,29;198,1677504;226,3108597
05/03/13;1420,25;1539,7925;38,72;24,05;142,38;54,72;25,82;11,03;36,73;35,34;56,19;35,75;199,0014421;228,3329472
06/03/13;1422,26;1541,4589;38,78;24,08;142,57;54,79;25,86;11,01;36,83;35,43;56,31;35,72;199,7188423;229,8006714
07/03/13;1424,88;1544,2594;38,87;24,12;142,85;54,9;25,93;10,98;36,9;35,5;56,42;35,87;198,8568558;228,6217939
08/03/13;1428,72;1551,1792;39,08;24,23;143,5;55,15;25,99;10,95;37,03;35,62;56,66;35,9;200,05119;230,0655406
11/03/13;1434,83;1556,2243;39,19;24,31;143,97;55,33;26,07;10,96;37,11;35,7;56,89;36,08;200,3260604;230,7391725
12/03/13;1433,28;1552,4787;39,1;24,26;143,64;55,2;25,96;10,97;37,07;35,65;56,77;36,01;200,1411594;230,2670801
